Re,Stenosis length/Radius,Degree of stenosis,Asymmetry,Pressure difference
100,15.0,0.2,0.0,6.472285714285712
200,15.0,0.2,0.0,3.4193571428571414
300,15.0,0.2,0.0,2.444571428571428
400,15.0,0.2,0.0,1.9488214285714278
500,15.0,0.2,0.0,1.6551771428571427
600,15.0,0.2,0.0,1.4519999999999995
700,15.0,0.2,0.0,1.307807580174927
800,15.0,0.2,0.0,1.194991071428571
30,20.0,0.2,1.0,26.485714285714284
50,20.0,0.2,1.0,15.521142857142852
100,20.0,0.2,1.0,8.015142857142854
200,20.0,0.2,1.0,4.202357142857141
300,20.0,0.2,1.0,2.9862857142857133
400,20.0,0.2,1.0,2.3711785714285707
500,20.0,0.2,1.0,2.0084914285714284
600,20.0,0.2,1.0,1.7588571428571425
700,20.0,0.2,1.0,1.5822157434402329
800,20.0,0.2,1.0,1.4444999999999995
30,20.0,0.2,0.5,26.485714285714284
50,20.0,0.2,0.5,15.521142857142852
100,20.0,0.2,0.5,8.00742857142857
200,20.0,0.2,0.5,4.194642857142855
300,20.0,0.2,0.5,2.9785714285714278
400,20.0,0.2,0.5,2.3634642857142847
500,20.0,0.2,0.5,2.0010857142857144
600,20.0,0.2,0.5,1.7515714285714281
700,20.0,0.2,0.5,1.575288629737609
800,20.0,0.2,0.5,1.4376294642857137
30,20.0,0.2,0.0,26.4
50,20.0,0.2,0.0,15.521142857142852
100,20.0,0.2,0.0,7.9997142857142824
200,20.0,0.2,0.0,4.183071428571427
300,20.0,0.2,0.0,2.965714285714285
400,20.0,0.2,0.0,2.350446428571428
500,20.0,0.2,0.0,1.9878171428571427
600,20.0,0.2,0.0,1.7387142857142852
700,20.0,0.2,0.0,1.5625364431486877
800,20.0,0.2,0.0,1.4253348214285708
30,30.0,0.2,1.0,36.857142857142854
50,30.0,0.2,1.0,21.59999999999999
100,30.0,0.2,1.0,11.093142857142853
200,30.0,0.2,1.0,5.741357142857141
300,30.0,0.2,1.0,4.020857142857142
400,30.0,0.2,1.0,3.15417857142857
500,30.0,0.2,1.0,2.6456914285714284
600,30.0,0.2,1.0,2.299499999999999
700,30.0,0.2,1.0,2.0564081632653055
800,30.0,0.2,1.0,1.8683035714285707
30,30.0,0.2,0.5,36.857142857142854
50,30.0,0.2,0.5,21.59999999999999
100,30.0,0.2,0.5,11.093142857142853
200,30.0,0.2,0.5,5.729785714285712
300,30.0,0.2,0.5,4.007999999999999
400,30.0,0.2,0.5,3.1401964285714277
500,30.0,0.2,0.5,2.6311885714285714
600,30.0,0.2,0.5,2.284285714285714
700,30.0,0.2,0.5,2.040822157434402
800,30.0,0.2,0.5,1.852633928571428
30,30.0,0.2,0.0,36.857142857142854
50,30.0,0.2,0.0,21.59999999999999
100,30.0,0.2,0.0,11.093142857142853
200,30.0,0.2,0.0,5.733642857142855
300,30.0,0.2,0.0,4.008857142857142
400,30.0,0.2,0.0,3.139714285714285
500,30.0,0.2,0.0,2.6293371428571426
600,30.0,0.2,0.0,2.2806428571428565
700,30.0,0.2,0.0,2.034839650145772
800,30.0,0.2,0.0,1.848415178571428
400,5.0,0.2,0.5,1.0568571428571425
500,5.0,0.2,0.5,0.8973257142857143
600,5.0,0.2,0.5,0.7862142857142855
700,5.0,0.2,0.5,0.7073527696793002
800,5.0,0.2,0.5,0.6458303571428569
30,5.0,0.2,0.0,10.885714285714284
50,5.0,0.2,0.0,6.449142857142855
100,5.0,0.2,0.0,3.3865714285714272
200,5.0,0.2,0.0,1.8321428571428564
300,5.0,0.2,0.0,1.3217142857142854
400,5.0,0.2,0.0,1.0558928571428567
500,5.0,0.2,0.0,0.8964
600,5.0,0.2,0.0,0.7849285714285712
700,5.0,0.2,0.0,0.7057784256559765
800,5.0,0.2,0.0,0.6439017857142855
30,5.0,0.3,1.0,13.885714285714284
50,5.0,0.3,1.0,8.362285714285711
100,5.0,0.3,1.0,4.6594285714285695
200,5.0,0.3,1.0,2.7867857142857133
300,5.0,0.3,1.0,2.1891428571428566
400,5.0,0.3,1.0,1.8846964285714278
500,5.0,0.3,1.0,1.7826171428571427
600,5.0,0.3,1.0,1.6829999999999996
700,5.0,0.3,1.0,1.6121282798833816
800,5.0,0.3,1.0,1.5672053571428566
30,5.0,0.3,0.5,13.542857142857141
50,5.0,0.3,0.5,8.115428571428568
100,5.0,0.3,0.5,4.512857142857142
200,5.0,0.3,0.5,2.717357142857142
30,2.5,0.3,1.0,10.2
50,2.5,0.3,1.0,6.233142857142855
